Wahlkreisnummer,Wahlkreisname,Bundesland
77,Berlin-Reinickendorf,Berlin
78,Berlin-Spandau – Charlottenburg Nord,Berlin
79,Berlin-Steglitz-Zehlendorf,Berlin
80,Berlin-Charlottenburg-Wilmersdorf,Berlin
81,Berlin-Tempelhof-Schöneberg,Berlin
82,Berlin-Neukölln,Berlin
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin
84,Berlin-Treptow-Köpenick,Berlin
85,Berlin-Marzahn-Hellersdorf,Berlin
86,Berlin-Lichtenberg,Berlin
87,Aachen I,Nordrhein-Westfalen
88,Aachen II,Nordrhein-Westfalen
89,Heinsberg,Nordrhein-Westfalen
90,Düren,Nordrhein-Westfalen
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen
93,Köln I,Nordrhein-Westfalen
94,Köln II,Nordrhein-Westfalen
95,Köln III,Nordrhein-Westfalen
96,Bonn,Nordrhein-Westfalen
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen
99,Oberbergischer Kreis,Nordrhein-Westfalen
100,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen
101,Leverkusen – Köln IV,Nordrhein-Westfalen
102,Wuppertal I,Nordrhein-Westfalen
103,Solingen – Remscheid – Wuppertal II,Nordrhein-Westfalen
104,Mettmann I,Nordrhein-Westfalen
105,Mettmann II,Nordrhein-Westfalen
106,Düsseldorf I,Nordrhein-Westfalen
107,Düsseldorf II,Nordrhein-Westfalen
108,Neuss I,Nordrhein-Westfalen
109,Mönchengladbach,Nordrhein-Westfalen
110,Krefeld I – Neuss II,Nordrhein-Westfalen
111,Viersen,Nordrhein-Westfalen
112,Kleve,Nordrhein-Westfalen
113,Wesel I,Nordrhein-Westfalen
114,Krefeld II – Wesel II,Nordrhein-Westfalen
115,Duisburg I,Nordrhein-Westfalen
116,Duisburg II,Nordrhein-Westfalen
117,Oberhausen – Wesel III,Nordrhein-Westfalen
118,Mülheim – Essen I,Nordrhein-Westfalen
119,Essen II,Nordrhein-Westfalen
120,Essen III,Nordrhein-Westfalen
121,Recklinghausen I,Nordrhein-Westfalen
122,Recklinghausen II,Nordrhein-Westfalen
123,Gelsenkirchen,Nordrhein-Westfalen
124,Steinfurt I – Borken I,Nordrhein-Westfalen
125,Bottrop – Recklinghausen III,Nordrhein-Westfalen
126,Borken II,Nordrhein-Westfalen
127,Coesfeld – Steinfurt II,Nordrhein-Westfalen
128,Steinfurt III,Nordrhein-Westfalen
129,Münster,Nordrhein-Westfalen
130,Warendorf,Nordrhein-Westfalen
131,Gütersloh I,Nordrhein-Westfalen
132,Bielefeld – Gütersloh II,Nordrhein-Westfalen
133,Herford – Minden-Lübbecke II,Nordrhein-Westfalen
134,Minden-Lübbecke I,Nordrhein-Westfalen
135,Lippe I,Nordrhein-Westfalen
136,Höxter – Lippe II,Nordrhein-Westfalen
137,Paderborn – Gütersloh III,Nordrhein-Westfalen
138,Hagen – Ennepe-Ruhr-Kreis I,Nordrhein-Westfalen
139,Ennepe-Ruhr-Kreis II,Nordrhein-Westfalen
140,Bochum I,Nordrhein-Westfalen
141,Herne – Bochum II,Nordrhein-Westfalen
142,Dortmund I,Nordrhein-Westfalen
143,Dortmund II,Nordrhein-Westfalen
144,Unna I,Nordrhein-Westfalen
145,Hamm – Unna II,Nordrhein-Westfalen
146,Soest,Nordrhein-Westfalen
147,Hochsauerlandkreis,Nordrhein-Westfalen
148,Siegen-Wittgenstein,Nordrhein-Westfalen
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen
150,Märkischer Kreis II,Nordrhein-Westfalen
151,Nordsachsen,Sachsen
152,Leipzig I,Sachsen
153,Leipzig II,Sachsen
154,Leipzig-Land,Sachsen
155,Meißen,Sachsen
156,Bautzen I,Sachsen
157,Görlitz,Sachsen
158,Sächsische Schweiz-Osterzgebirge,Sachsen
159,Dresden I,Sachsen
160,Dresden II – Bautzen II,Sachsen
161,Mittelsachsen,Sachsen
162,Chemnitz,Sachsen
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen
164,Erzgebirgskreis I,Sachsen
165,Zwickau,Sachsen
166,Vogtlandkreis,Sachsen
167,Waldeck,Hessen
168,Kassel,Hessen
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen
170,Schwalm-Eder,Hessen
171,Marburg,Hessen
172,Lahn-Dill,Hessen
173,Gießen,Hessen
174,Fulda,Hessen
175,Main-Kinzig – Wetterau II – Schotten,Hessen
176,Hochtaunus,Hessen
177,Wetterau I,Hessen
178,Rheingau-Taunus – Limburg,Hessen
179,Wiesbaden,Hessen
180,Hanau,Hessen
181,Main-Taunus,Hessen
182,Frankfurt am Main I,Hessen
183,Frankfurt am Main II,Hessen
184,Groß-Gerau,Hessen
185,Offenbach,Hessen
186,Darmstadt,Hessen
187,Odenwald,Hessen
188,Bergstraße,Hessen
189,Eichsfeld – Nordhausen – Unstrut-Hainich-Kreis I,Thüringen
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis II,Thüringen
191,Kyffhäuserkreis – Sömmerda – Weimarer Land I,Thüringen
192,Gotha – Ilm-Kreis,Thüringen
193,Erfurt – Weimar – Weimarer Land II,Thüringen
194,Gera – Jena – Saale-Holzland-Kreis,Thüringen
195,Greiz – Altenburger Land,Thüringen
196,Sonneberg – Saalfeld-Rudolstadt – Saale-Orla-Kreis,Thüringen
197,Suhl – Schmalkalden-Meiningen – Hildburghausen,Thüringen
198,Neuwied,Rheinland-Pfalz
199,Ahrweiler,Rheinland-Pfalz
200,Koblenz,Rheinland-Pfalz
201,Mosel/Rhein-Hunsrück,Rheinland-Pfalz
202,Kreuznach,Rheinland-Pfalz
203,Bitburg,Rheinland-Pfalz
204,Trier,Rheinland-Pfalz
205,Montabaur,Rheinland-Pfalz
206,Mainz,Rheinland-Pfalz
207,Worms,Rheinland-Pfalz
208,Ludwigshafen/Frankenthal,Rheinland-Pfalz
209,Neustadt – Speyer,Rheinland-Pfalz
210,Kaiserslautern,Rheinland-Pfalz
211,Pirmasens,Rheinland-Pfalz
212,Südpfalz,Rheinland-Pfalz
213,Altötting,Bayern
214,Erding – Ebersberg,Bayern
215,Freising,Bayern
216,Fürstenfeldbruck,Bayern
217,Ingolstadt,Bayern
218,München-Nord,Bayern
219,München-Ost,Bayern
220,München-Süd,Bayern
221,München-West/Mitte,Bayern
222,München-Land,Bayern
223,Rosenheim,Bayern
224,Starnberg,Bayern
225,Traunstein,Bayern
226,Weilheim,Bayern
227,Deggendorf,Bayern
228,Landshut,Bayern
229,Passau,Bayern
230,Rottal-Inn,Bayern
231,Straubing,Bayern
232,Amberg,Bayern
233,Regensburg,Bayern
234,Schwandorf,Bayern
235,Weiden,Bayern
236,Bamberg,Bayern
237,Bayreuth,Bayern
238,Coburg,Bayern
239,Hof,Bayern
240,Kulmbach,Bayern
241,Ansbach,Bayern
242,Erlangen,Bayern
243,Fürth,Bayern
244,Nürnberg-Nord,Bayern
245,Nürnberg-Süd,Bayern
246,Roth,Bayern
247,Aschaffenburg,Bayern
248,Bad Kissingen,Bayern
249,Main-Spessart,Bayern
250,Schweinfurt,Bayern
251,Würzburg,Bayern
252,Augsburg-Stadt,Bayern
253,Augsburg-Land,Bayern
254,Donau-Ries,Bayern
255,Neu-Ulm,Bayern
256,Oberallgäu,Bayern
257,Ostallgäu,Bayern
258,Stuttgart I,Baden-Württemberg
259,Stuttgart II,Baden-Württemberg
260,Böblingen,Baden-Württemberg
261,Esslingen,Baden-Württemberg
262,Nürtingen,Baden-Württemberg
263,Göppingen,Baden-Württemberg
264,Waiblingen,Baden-Württemberg
265,Ludwigsburg,Baden-Württemberg
266,Neckar-Zaber,Baden-Württemberg
267,Heilbronn,Baden-Württemberg
268,Schwäbisch Hall – Hohenlohe,Baden-Württemberg
269,Backnang – Schwäbisch Gmünd,Baden-Württemberg
270,Aalen – Heidenheim,Baden-Württemberg
271,Karlsruhe-Stadt,Baden-Württemberg
272,Karlsruhe-Land,Baden-Württemberg
273,Rastatt,Baden-Württemberg
274,Heidelberg,Baden-Württemberg
275,Mannheim,Baden-Württemberg
276,Odenwald – Tauber,Baden-Württemberg
277,Rhein-Neckar,Baden-Württemberg
278,Bruchsal – Schwetzingen,Baden-Württemberg
279,Pforzheim,Baden-Württemberg
280,Calw,Baden-Württemberg
281,Freiburg,Baden-Württemberg
282,Lörrach – Müllheim,Baden-Württemberg
283,Emmendingen – Lahr,Baden-Württemberg
284,Offenburg,Baden-Württemberg
285,Rottweil – Tuttlingen,Baden-Württemberg
286,Schwarzwald-Baar,Baden-Württemberg
287,Konstanz,Baden-Württemberg
288,Waldshut,Baden-Württemberg
289,Reutlingen,Baden-Württemberg
290,Tübingen,Baden-Württemberg
291,Ulm,Baden-Württemberg
292,Biberach,Baden-Württemberg
293,Bodensee,Baden-Württemberg
294,Ravensburg,Baden-Württemberg
295,Zollernalb – Sigmaringen,Baden-Württemberg
296,Saarbrücken,Saarland
297,Saarlouis,Saarland
298,St. Wendel,Saarland
299,Homburg,Saarland
